Player,Cluster,Archetype
Alex Sarr,1,Defensive Rim Protectors
Amen Thompson,1,Defensive Rim Protectors
Brook Lopez,1,Defensive Rim Protectors
Draymond Green,1,Defensive Rim Protectors
Isaiah Hartenstein,1,Defensive Rim Protectors
Jaden McDaniels,1,Defensive Rim Protectors
Jakob Poeltl,1,Defensive Rim Protectors
Keegan Murray,1,Defensive Rim Protectors
Kelly Oubre Jr.,1,Defensive Rim Protectors
Mark Williams,1,Defensive Rim Protectors
Myles Turner,1,Defensive Rim Protectors
Naz Reid,1,Defensive Rim Protectors
Nic Claxton,1,Defensive Rim Protectors
Onyeka Okongwu,1,Defensive Rim Protectors
P.J. Washington,1,Defensive Rim Protectors
Tari Eason,1,Defensive Rim Protectors
Tobias Harris,1,Defensive Rim Protectors
Toumani Camara,1,Defensive Rim Protectors
Victor Wembanyama,1,Defensive Rim Protectors
Walker Kessler,1,Defensive Rim Protectors
Wendell Carter Jr.,1,Defensive Rim Protectors
Yves Missi,1,Defensive Rim Protectors
Andrew Wiggins,2,Perimeter Shooters and Secondary Guards
Anfernee Simons,2,Perimeter Shooters and Secondary Guards
Bub Carrington,2,Perimeter Shooters and Secondary Guards
CJ McCollum,2,Perimeter Shooters and Secondary Guards
Cameron Johnson,2,Perimeter Shooters and Secondary Guards
Chris Paul,2,Perimeter Shooters and Secondary Guards
Collin Sexton,2,Perimeter Shooters and Secondary Guards
De'Andre Hunter,2,Perimeter Shooters and Secondary Guards
Dennis Schröder,2,Perimeter Shooters and Secondary Guards
Derrick White,2,Perimeter Shooters and Secondary Guards
Devin Vassell,2,Perimeter Shooters and Secondary Guards
Dillon Brooks,2,Perimeter Shooters and Secondary Guards
Fred VanVleet,2,Perimeter Shooters and Secondary Guards
Jordan Poole,2,Perimeter Shooters and Secondary Guards
Keon Johnson,2,Perimeter Shooters and Secondary Guards
Keyonte George,2,Perimeter Shooters and Secondary Guards
Klay Thompson,2,Perimeter Shooters and Secondary Guards
Kyle Kuzma,2,Perimeter Shooters and Secondary Guards
Kyrie Irving,2,Perimeter Shooters and Secondary Guards
LaMelo Ball,2,Perimeter Shooters and Secondary Guards
Malik Beasley,2,Perimeter Shooters and Secondary Guards
Malik Monk,2,Perimeter Shooters and Secondary Guards
Norman Powell,2,Perimeter Shooters and Secondary Guards
Payton Pritchard,2,Perimeter Shooters and Secondary Guards
Quentin Grimes,2,Perimeter Shooters and Secondary Guards
Scoot Henderson,2,Perimeter Shooters and Secondary Guards
Spencer Dinwiddie,2,Perimeter Shooters and Secondary Guards
Trey Murphy III,2,Perimeter Shooters and Secondary Guards
Tyrese Haliburton,2,Perimeter Shooters and Secondary Guards
Tyrese Maxey,2,Perimeter Shooters and Secondary Guards
Alperen Şengün,3,Interior Bigs
Anthony Davis,3,Interior Bigs
Bam Adebayo,3,Interior Bigs
Domantas Sabonis,3,Interior Bigs
Evan Mobley,3,Interior Bigs
Ivica Zubac,3,Interior Bigs
Jalen Duren,3,Interior Bigs
Jarrett Allen,3,Interior Bigs
Josh Hart,3,Interior Bigs
Karl-Anthony Towns,3,Interior Bigs
Nikola Vučević,3,Interior Bigs
Rudy Gobert,3,Interior Bigs
Aaron Gordon,4,Low-Usage Role Players
Aaron Nesmith,4,Low-Usage Role Players
Al Horford,4,Low-Usage Role Players
Amir Coffey,4,Low-Usage Role Players
Andrew Nembhard,4,Low-Usage Role Players
Anthony Black,4,Low-Usage Role Players
Ayo Dosunmu,4,Low-Usage Role Players
Bilal Coulibaly,4,Low-Usage Role Players
Bobby Portis,4,Low-Usage Role Players
Bogdan Bogdanović,4,Low-Usage Role Players
Bradley Beal,4,Low-Usage Role Players
Brandin Podziemski,4,Low-Usage Role Players
Caleb Martin,4,Low-Usage Role Players
Caris LeVert,4,Low-Usage Role Players
Cason Wallace,4,Low-Usage Role Players
Corey Kispert,4,Low-Usage Role Players
D'Angelo Russell,4,Low-Usage Role Players
Davion Mitchell,4,Low-Usage Role Players
Derrick Jones Jr.,4,Low-Usage Role Players
Donte DiVincenzo,4,Low-Usage Role Players
Dorian Finney-Smith,4,Low-Usage Role Players
Duncan Robinson,4,Low-Usage Role Players
Gary Trent Jr.,4,Low-Usage Role Players
Gradey Dick,4,Low-Usage Role Players
Grayson Allen,4,Low-Usage Role Players
Guerschon Yabusele,4,Low-Usage Role Players
Harrison Barnes,4,Low-Usage Role Players
Haywood Highsmith,4,Low-Usage Role Players
Isaiah Collier,4,Low-Usage Role Players
Jabari Smith Jr.,4,Low-Usage Role Players
Jalen Wilson,4,Low-Usage Role Players
Jaylen Wells,4,Low-Usage Role Players
Jerami Grant,4,Low-Usage Role Players
Jeremy Sochan,4,Low-Usage Role Players
Jonathan Kuminga,4,Low-Usage Role Players
Jose Alvarado,4,Low-Usage Role Players
Josh Green,4,Low-Usage Role Players
Jrue Holiday,4,Low-Usage Role Players
Justin Edwards,4,Low-Usage Role Players
Kentavious Caldwell-Pope,4,Low-Usage Role Players
Keon Ellis,4,Low-Usage Role Players
Kevin Huerter,4,Low-Usage Role Players
Kris Dunn,4,Low-Usage Role Players
Kristaps Porziņģis,4,Low-Usage Role Players
Kyshawn George,4,Low-Usage Role Players
Lauri Markkanen,4,Low-Usage Role Players
Luguentz Dort,4,Low-Usage Role Players
Max Christie,4,Low-Usage Role Players
Max Strus,4,Low-Usage Role Players
Mike Conley,4,Low-Usage Role Players
Miles McBride,4,Low-Usage Role Players
Naji Marshall,4,Low-Usage Role Players
Nickeil Alexander-Walker,4,Low-Usage Role Players
Nikola Jović,4,Low-Usage Role Players
Ochai Agbaji,4,Low-Usage Role Players
Patrick Williams,4,Low-Usage Role Players
Paul George,4,Low-Usage Role Players
Peyton Watson,4,Low-Usage Role Players
Royce O'Neale,4,Low-Usage Role Players
Rui Hachimura,4,Low-Usage Role Players
Santi Aldama,4,Low-Usage Role Players
Taurean Prince,4,Low-Usage Role Players
Terry Rozier,4,Low-Usage Role Players
Tim Hardaway Jr.,4,Low-Usage Role Players
Tyus Jones,4,Low-Usage Role Players
Zaccharie Risacher,4,Low-Usage Role Players
Ziaire Williams,4,Low-Usage Role Players
Giannis Antetokounmpo,5,Superstar Offensive Hubs
Nikola Jokić,5,Superstar Offensive Hubs
Bennedict Mathurin,6,Versatile Two-Way Forwards
Christian Braun,6,Versatile Two-Way Forwards
De'Aaron Fox,6,Versatile Two-Way Forwards
DeMar DeRozan,6,Versatile Two-Way Forwards
Deni Avdija,6,Versatile Two-Way Forwards
Desmond Bane,6,Versatile Two-Way Forwards
Dyson Daniels,6,Versatile Two-Way Forwards
Franz Wagner,6,Versatile Two-Way Forwards
Ja Morant,6,Versatile Two-Way Forwards
Jalen Williams,6,Versatile Two-Way Forwards
Jamal Murray,6,Versatile Two-Way Forwards
Jaren Jackson Jr.,6,Versatile Two-Way Forwards
Jaylen Brown,6,Versatile Two-Way Forwards
Jimmy Butler,6,Versatile Two-Way Forwards
Josh Giddey,6,Versatile Two-Way Forwards
Julius Randle,6,Versatile Two-Way Forwards
Kevin Durant,6,Versatile Two-Way Forwards
Michael Porter Jr.,6,Versatile Two-Way Forwards
Mikal Bridges,6,Versatile Two-Way Forwards
Miles Bridges,6,Versatile Two-Way Forwards
OG Anunoby,6,Versatile Two-Way Forwards
Paolo Banchero,6,Versatile Two-Way Forwards
Pascal Siakam,6,Versatile Two-Way Forwards
RJ Barrett,6,Versatile Two-Way Forwards
Russell Westbrook,6,Versatile Two-Way Forwards
Scottie Barnes,6,Versatile Two-Way Forwards
Shaedon Sharpe,6,Versatile Two-Way Forwards
Stephon Castle,6,Versatile Two-Way Forwards
Anthony Edwards,7,Primary Shot Creators
Austin Reaves,7,Primary Shot Creators
Cade Cunningham,7,Primary Shot Creators
Coby White,7,Primary Shot Creators
Damian Lillard,7,Primary Shot Creators
Darius Garland,7,Primary Shot Creators
Devin Booker,7,Primary Shot Creators
Donovan Mitchell,7,Primary Shot Creators
Jalen Brunson,7,Primary Shot Creators
Jalen Green,7,Primary Shot Creators
James Harden,7,Primary Shot Creators
Jayson Tatum,7,Primary Shot Creators
LeBron James,7,Primary Shot Creators
Luka Dončić,7,Primary Shot Creators
Shai Gilgeous-Alexander,7,Primary Shot Creators
Stephen Curry,7,Primary Shot Creators
Trae Young,7,Primary Shot Creators
Tyler Herro,7,Primary Shot Creators
Zach LaVine,7,Primary Shot Creators
