Cluster,stat,z,abs_z
1,BLK,1.5018045424057869,1.5018045424057869
1,ORB,1.045082718650305,1.045082718650305
1,TRB,0.7999895202271772,0.7999895202271772
1,3P,-0.7677333446634436,0.7677333446634436
1,3PA,-0.7434173929681892,0.7434173929681892
2,3PA,0.7596994007304931,0.7596994007304931
2,3P,0.7476433053992546,0.7476433053992546
2,ORB,-0.5821035536146898,0.5821035536146898
2,TRB,-0.5740303552934453,0.5740303552934453
2,DRB,-0.5229374930251919,0.5229374930251919
3,TRB,2.4909809154899856,2.4909809154899856
3,DRB,2.3526833169700834,2.3526833169700834
3,ORB,2.3427197504570505,2.3427197504570505
3,2P,1.4092511909650607,1.4092511909650607
3,3PA,-1.1824949365273825,1.1824949365273825
4,FG,-0.9017925582187528,0.9017925582187528
4,2PA,-0.878752191670744,0.878752191670744
4,FGA,-0.868491124171117,0.868491124171117
4,2P,-0.8565939266280943,0.8565939266280943
4,FTA,-0.7860511118197283,0.7860511118197283
5,Trp-Dbl,7.054039661065524,7.054039661065524
5,2P,3.4213719771946174,3.4213719771946174
5,DRB,3.079330427230742,3.079330427230742
5,FTA,2.9584411274772537,2.9584411274772537
5,2PA,2.9207420365602603,2.9207420365602603
6,2PA,0.9079490680251683,0.9079490680251683
6,2P,0.8378227404867874,0.8378227404867874
6,FG,0.7431689817160836,0.7431689817160836
6,FGA,0.7389523804281684,0.7389523804281684
6,FTA,0.675807956203779,0.675807956203779
7,FT,1.762450089911131,1.762450089911131
7,FGA,1.7223046753761184,1.7223046753761184
7,TOV,1.6987468574484594,1.6987468574484594
7,FTA,1.5833877981490247,1.5833877981490247
7,AST,1.5385626878999172,1.5385626878999172
